Genesis Account,Proxy Account,Proxy Type,Delay
5HN1xLdp4sy4ZFD8sX9Z5Yj7LUbo6hbPz1UDy8vSeWz3p8sc,5D2rYViBfECu59ro6kddBcpJxxvBg8RsxSP2Aqd4hq3tAx2o,Staking,0
5Dt2mRqpTM3KSkZgQRXpRUptMqB3YrQm69Do91q4ti6FqQ9V,5D2rYViBfECu59ro6kddBcpJxxvBg8RsxSP2Aqd4hq3tAx2o,Staking,0
5FWSRCyjawFrk7BEZNL6buYodp3UrmZ8CB6HpjGTiY2iA6QL,5D2rYViBfECu59ro6kddBcpJxxvBg8RsxSP2Aqd4hq3tAx2o,Staking,0
5HEiraQFT2pHqK697etfwi4q1Yrb6bhSMurVHwFr2jijpJmv,5D2rYViBfECu59ro6kddBcpJxxvBg8RsxSP2Aqd4hq3tAx2o,Staking,0
5HN1xLdp4sy4ZFD8sX9Z5Yj7LUbo6hbPz1UDy8vSeWz3p8sc,5CD8Wd5924mfiuNWPjLKSnWdeQCmCynWVoZn1oVZ5DAs4hKc,Staking,0
5Dt2mRqpTM3KSkZgQRXpRUptMqB3YrQm69Do91q4ti6FqQ9V,5CD8Wd5924mfiuNWPjLKSnWdeQCmCynWVoZn1oVZ5DAs4hKc,Staking,0
5FWSRCyjawFrk7BEZNL6buYodp3UrmZ8CB6HpjGTiY2iA6QL,5CD8Wd5924mfiuNWPjLKSnWdeQCmCynWVoZn1oVZ5DAs4hKc,Staking,0
5HEiraQFT2pHqK697etfwi4q1Yrb6bhSMurVHwFr2jijpJmv,5CD8Wd5924mfiuNWPjLKSnWdeQCmCynWVoZn1oVZ5DAs4hKc,Staking,0
5HN1xLdp4sy4ZFD8sX9Z5Yj7LUbo6hbPz1UDy8vSeWz3p8sc,5H8j2iMTekHy4tQB6CQLrC2eJ7N8CzHUdwXwUXnoDPwvnAkY,Staking,0
5Dt2mRqpTM3KSkZgQRXpRUptMqB3YrQm69Do91q4ti6FqQ9V,5H8j2iMTekHy4tQB6CQLrC2eJ7N8CzHUdwXwUXnoDPwvnAkY,Staking,0
5FWSRCyjawFrk7BEZNL6buYodp3UrmZ8CB6HpjGTiY2iA6QL,5H8j2iMTekHy4tQB6CQLrC2eJ7N8CzHUdwXwUXnoDPwvnAkY,Staking,0
5HEiraQFT2pHqK697etfwi4q1Yrb6bhSMurVHwFr2jijpJmv,5H8j2iMTekHy4tQB6CQLrC2eJ7N8CzHUdwXwUXnoDPwvnAkY,Staking,0
