Genesis Account,Proxy Account,Proxy Type,Delay
5G6NAE72PMRahnHgu4gUEquLoPnGVmBYc94jfiw3JdVoLHyf,5CARQRU1yi9VFv2WDkFdp4BwbJDLuKa3znmswbLiwErjEaKm,Governance,0
5ETwZ9uvTCdLRCAvKeLRsDPeeu7YMBzSRJdew5nBGY4HenZd,5CARQRU1yi9VFv2WDkFdp4BwbJDLuKa3znmswbLiwErjEaKm,Governance,0
5FqH7yiAtWpRPNxCUTZTxGa4aKreNK1T3EhHh5SNxYRKSbBL,5CARQRU1yi9VFv2WDkFdp4BwbJDLuKa3znmswbLiwErjEaKm,Governance,0
5E6trwGvNZLaYxPvUYFBQjSrBPST2uxKcjLBBs3QZ87VB7yo,5CARQRU1yi9VFv2WDkFdp4BwbJDLuKa3znmswbLiwErjEaKm,Governance,0
5EqQQcdMKg3pZ6dV16orrfkRUpv69Y65pe2WfLJ8ckBhSaD8,5HBzo881cdwcVXquYbF21KMjKFqcbftSYyZhnLK5YtqjoNJY,Governance,0
5G3XzJEYRHahKLv47tjtRubaWKd89oZrLCDSj323kBkiiwgF,5HBzo881cdwcVXquYbF21KMjKFqcbftSYyZhnLK5YtqjoNJY,Governance,0
5EvLY9FvzS4KFxRPjaMoawm7YJqTEHeeDrkS6p4pqZCU8uRw,5HBzo881cdwcVXquYbF21KMjKFqcbftSYyZhnLK5YtqjoNJY,Governance,0
5FYsXbFHChNLTnKFNNrt6hQvTYDGRs4r3iNK2AWc3cVX627L,5HBzo881cdwcVXquYbF21KMjKFqcbftSYyZhnLK5YtqjoNJY,Governance,0
5D4XUvkFCDjxNorMSqu8Xt21CMcJSo5d6Xp6X7j4Q5W6XJ4K,5EcZbRCzFKrgRrBA3jdKNCNpN7usc2K2Y8kBxfZggMmSid7u,Governance,0
5Dnsgi6YwaKVNxtcMkaEX5xzt6qu6MnDxEvHBFHgXpr6RDSd,5EcZbRCzFKrgRrBA3jdKNCNpN7usc2K2Y8kBxfZggMmSid7u,Governance,0
5CZtX3p8HUnKTqoGFM5Le3wJnf9t52CfSAnik6NePdEvqznR,5EcZbRCzFKrgRrBA3jdKNCNpN7usc2K2Y8kBxfZggMmSid7u,Governance,0
5EYzK7g1QFPeF7WwfmNtUjcAZj34FvrFzFF2LA9zj9tQWkjk,5EcZbRCzFKrgRrBA3jdKNCNpN7usc2K2Y8kBxfZggMmSid7u,Governance,0
5G6NAE72PMRahnHgu4gUEquLoPnGVmBYc94jfiw3JdVoLHyf,5HoMX4f6mih3zAMwLiakTJBNZ49JSWiV5PeyJDBxr1Uovx2z,Governance,0
5ETwZ9uvTCdLRCAvKeLRsDPeeu7YMBzSRJdew5nBGY4HenZd,5HoMX4f6mih3zAMwLiakTJBNZ49JSWiV5PeyJDBxr1Uovx2z,Governance,0
5FqH7yiAtWpRPNxCUTZTxGa4aKreNK1T3EhHh5SNxYRKSbBL,5HoMX4f6mih3zAMwLiakTJBNZ49JSWiV5PeyJDBxr1Uovx2z,Governance,0
5E6trwGvNZLaYxPvUYFBQjSrBPST2uxKcjLBBs3QZ87VB7yo,5HoMX4f6mih3zAMwLiakTJBNZ49JSWiV5PeyJDBxr1Uovx2z,Governance,0
5EqQQcdMKg3pZ6dV16orrfkRUpv69Y65pe2WfLJ8ckBhSaD8,MISSING,Governance,0
5G3XzJEYRHahKLv47tjtRubaWKd89oZrLCDSj323kBkiiwgF,MISSING,Governance,0
5EvLY9FvzS4KFxRPjaMoawm7YJqTEHeeDrkS6p4pqZCU8uRw,MISSING,Governance,0
5FYsXbFHChNLTnKFNNrt6hQvTYDGRs4r3iNK2AWc3cVX627L,MISSING,Governance,0
5D4XUvkFCDjxNorMSqu8Xt21CMcJSo5d6Xp6X7j4Q5W6XJ4K,5GNF3mUb2gCLChegy5j5b7PMtjqKTQzzMQXvRnormyPNy688,Governance,0
5Dnsgi6YwaKVNxtcMkaEX5xzt6qu6MnDxEvHBFHgXpr6RDSd,5GNF3mUb2gCLChegy5j5b7PMtjqKTQzzMQXvRnormyPNy688,Governance,0
5CZtX3p8HUnKTqoGFM5Le3wJnf9t52CfSAnik6NePdEvqznR,5GNF3mUb2gCLChegy5j5b7PMtjqKTQzzMQXvRnormyPNy688,Governance,0
5EYzK7g1QFPeF7WwfmNtUjcAZj34FvrFzFF2LA9zj9tQWkjk,5GNF3mUb2gCLChegy5j5b7PMtjqKTQzzMQXvRnormyPNy688,Governance,0
