Genesis Account,Proxy Account,Proxy Type,Delay
5HVc2HNQH8DW73GKpiVq8U2g9sryCKStkpVaonVD8WL2Vn3w,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5Cr4f1RCTyj2ChpJtNrFEh3JzLnwExNzvQWy5xwpgoMQ4gF1,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5GeHAEAJedWDkosbSHHuraDywM2mQS5QtD4R5AxhfbRB9Xim,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5FCVfimxxAEc2ZfZsyMxFcwunfcAsn9Pkznry37wX3hGoAR2,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5ES4LPV2mWJjXyXURfbHunACsNARkhvXZGZeEDywnUyH8h8u,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5GirqZPGx3kRopwD7RYZoFwwiKszYUrvSCFPoAvqDYKd1hCa,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5DtJhMb9F6fbUNPnvG4N5fG9PmuQi1jJ9oDnnPHnDn5GLDWQ,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5Hpfamx4ZgdJgyFH5pL7NjbQBBW72nqNzV19ThKf1kVgdqEA,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5Gk2rjWNk5jxXSkLtryQXJmz5xpMJu2Ewwp1VmMs2MggapJX,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5Dqpyw1YEKecvU83ZtMrztfHfo67JBHy7ZYrGTFARxvovML5,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5HNjsVdwdQtbCbqeYq2pEKWi6EUJsuJhyYDkfVZDfniL8sRt,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5EehGGpwzi7Y8eWGSKk8vwSiBuE1HXELZjRxwwE95Lb42nys,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5HgnQkKYQVyV6s9bdXPSctewePr8UpwbJf1fBU9qicy6VVMv,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5HMXHLSxnGy16MHcVRb3jxLci1PBwFkXQkYhAC665CsCRkyD,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5HBnN8ziftFafXM42rLwoXaGCi46Qp66kXFBGaXV6uNimUJq,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Balances,0
5G6NAE72PMRahnHgu4gUEquLoPnGVmBYc94jfiw3JdVoLHyf,5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,Any,0
