Genesis Account,Proxy Account,Proxy Type,Delay
5H6NNju7A2BVXxb6i6fF7peBjScum1RdKBEbEmwa8DADq2vq,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5DxqK9mKp6bG9yn8MsQpk45aTaZPM3t2XvCN9ZdR63W1CrbF,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5G4n9k2uSdo7azzQSfRLb4m9VLAwUJ3CyKj3a1rLJjMsQ4sV,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5EXfrYdnjKfVhtuJX8oHaCK4eEJuFeYjVknuAtchvGSkvVtp,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5Eh1bSfWa6nNLEaobzoik5ycYDu2UDidv6CeqzynkgsfmMjv,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5D2rYViBfECu59ro6kddBcpJxxvBg8RsxSP2Aqd4hq3tAx2o,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5CD8Wd5924mfiuNWPjLKSnWdeQCmCynWVoZn1oVZ5DAs4hKc,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5H8j2iMTekHy4tQB6CQLrC2eJ7N8CzHUdwXwUXnoDPwvnAkY,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5Hb8fsh8Q7kfRiAf1q3TzbbbBdxgjNycht1pEcbGMHXQFPBc,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5HG6854qWo3Asz8fkuEfYDFmJQNfoNmyHtqgJJ79AmLnSeoc,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5H3ZsAjFB9VitHsEKhMw7YdtWhiUqrgDTteHw4dyBzFf9EeR,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5HoMX4f6mih3zAMwLiakTJBNZ49JSWiV5PeyJDBxr1Uovx2z,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5DehbB7HZQ3drehWiD5iJjxUVZVcLVDa3bu2Pj7SYGMwyDJV,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5GNF3mUb2gCLChegy5j5b7PMtjqKTQzzMQXvRnormyPNy688,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5CARQRU1yi9VFv2WDkFdp4BwbJDLuKa3znmswbLiwErjEaKm,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5HBzo881cdwcVXquYbF21KMjKFqcbftSYyZhnLK5YtqjoNJY,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5EcZbRCzFKrgRrBA3jdKNCNpN7usc2K2Y8kBxfZggMmSid7u,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5HTDQxF3RAG1itWb6EemVxNaSTnq5bjecFuKFauAVjWemvjQ,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5HNhQAGCFf3QKwQZhkWAxrWJTaY2RWZJsS5RzG3eD7ghpG1n,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5HKCTP8ui8xGMiatiS48FQ3hMF9bth2UbqL8S5yk6sapqbSg,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0	
5EjXUA4Hpw81U9hrQK573VdThAjsEzeMCTio3CK2HCr9qnmD,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0			
5EVqXYb1uF38pmYWS5HDUEBtS1mMRnKprJM1fCYusujnkNvX,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5EWJKXGmE7Mx2BVwX6fwdbiF5R5RkBEDYDaj3TkRsL8DRdMD,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5E7ZRqBmNBvABGY17Qjkvm4HFwccJmrpRF5ugbwTgX5BEbiF,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
5FWzsmZBe3E5q9WTgAe37CZidpa9tW6mC1yUnxCZDFZJAKzG,5FHgxn5i7NUKAqnCDQHGYdJMkwhc9dibvF7UHa7yuE3jTdcz,Any,0
